Nama Tool,Kategori,Sub-Kategori,Harga,Harga Detail,Rating,Best For,Link,Status
ChatGPT,Content Creator,Copywriting,Freemium,Free / $20/bln (Plus),5,"General writing, brainstorming, coding help",https://chat.openai.com,Active
Claude,Content Creator,Copywriting,Freemium,Free / $20/bln (Pro),5,"Long-form writing, analysis, coding",https://claude.ai,Active
Jasper AI,Content Creator,Copywriting,Paid,$39-$99/bln,4,"Marketing copy, brand voice, long-form",https://jasper.ai,Active
Copy.ai,Content Creator,Copywriting,Freemium,Free / $36-$186/bln,4,"Social media copy, email, blog",https://copy.ai,Active
Writesonic,Content Creator,Copywriting,Freemium,Free / $12.67+/bln,4,"SEO content, landing page, blog",https://writesonic.com,Active
Rytr,Content Creator,Copywriting,Freemium,Free / $9-$29/bln,3,"Fast writing, budget-friendly",https://rytr.me,Active
Anyword,Content Creator,Copywriting,Paid,$39-$79/bln,4,Performance-based copywriting,https://anyword.com,Active
Simplified,Content Creator,Copywriting,Freemium,Free / $18-$49/bln,4,All-in-one content + design,https://simplified.com,Active
Hypotenuse AI,Content Creator,Copywriting,Paid,$24-$49/bln,4,E-commerce product descriptions,https://hypotenuse.ai,Active
Copymatic,Content Creator,Copywriting,Freemium,Free / $6-$58/bln,4,"Blog posts, ads, social media",https://copymatic.ai,Active
Midjourney,Content Creator,Visual AI,Paid,$10-$120/bln,5,"Photorealistic, artistic images",https://midjourney.com,Active
DALL·E 3,Content Creator,Visual AI,Freemium,Free (via Bing) / $20/bln (ChatGPT Plus),5,"Easy image generation, accurate prompts",https://openai.com/dall-e,Active
Adobe Firefly,Content Creator,Visual AI,Freemium,Free tier / $55/bln (CC),4,Commercial-safe AI design,https://firefly.adobe.com,Active
Ideogram,Content Creator,Visual AI,Freemium,Free / $7-$16/bln,4,Text-in-image (best in class),https://ideogram.ai,Active
Leonardo AI,Content Creator,Visual AI,Freemium,Free / $10-$48/bln,4,"Game assets, concept art",https://leonardo.ai,Active
Canva AI,Content Creator,Visual AI,Freemium,Free / $12/bln (Pro),4,Design + AI generation combined,https://canva.com,Active
Recraft AI,Content Creator,Visual AI,Freemium,Free / $10-$86/bln,4,"Vector art, icons, design consistency",https://recraft.ai,Active
Stable Diffusion,Content Creator,Visual AI,Free,"Open source, self-hosted",4,"Open source, fully customizable",https://stability.ai,Active
CapCut,Content Creator,Video,Free,Gratis,5,"TikTok/Reels editing, AI effects",https://capcut.com,Active
Runway ML,Content Creator,Video,Freemium,Free / $12-$76/bln,5,"AI video generation, green screen",https://runwayml.com,Active
